20181001|13136|V2.0
LHMSFL-R|LHGOV-D|2|
LHMSFL-R|LHGOV-R|2|
LHMSFL-R|LHGOVRMF|2|
LHMSFL-R|LHGROWTH-A|2|
LHMSFL-R|LHGROWTH-D|2|
LHMSFL-R|LHGROWTH-R|2|
LHMSFL-R|LHJAP-E|2|
LHMSFL-R|LHMM|2|
LHMSFL-R|LHMSFL-A|0|
LHMSFL-R|LHMSFL-D|0|
LHMSFL-R|LHPROP-I|2|
LHMSFL-R|LHTPROP|2|
LHMSFL-R|LHTPROPRMF|2|
LHPROP-I|LHDEBT-A|4|
LHPROP-I|LHDEBT-D|4|
LHPROP-I|LHDEBT-R|4|
LHPROP-I|LHEFI2Y1|4|
LHPROP-I|LHEQD-A|4|
LHPROP-I|LHEQD-D|4|
LHPROP-I|LHEQD-R|4|
LHPROP-I|LHFL|4|
LHPROP-I|LHFLRMF|4|
LHPROP-I|LHGOV-A|4|
LHPROP-I|LHGOV-D|4|
LHPROP-I|LHGOV-R|4|
LHPROP-I|LHGOVRMF|4|
LHPROP-I|LHGROWTH-A|4|
LHPROP-I|LHGROWTH-D|4|
LHPROP-I|LHGROWTH-R|4|
LHPROP-I|LHJAP-E|4|
LHPROP-I|LHMM|4|
LHPROP-I|LHMSFL-R|4|
LHPROP-I|LHTPROP|4|
LHPROP-I|LHTPROPRMF|4|
LHPROP-INFRA|LHJAP-E|2|
LHTPROP|LHDEBT-A|2|
LHTPROP|LHDEBT-D|2|
LHTPROP|LHDEBT-R|2|
LHTPROP|LHEFI2Y1|2|
LHTPROP|LHEQD-A|2|
LHTPROP|LHEQD-D|2|
LHTPROP|LHEQD-R|2|
LHTPROP|LHFL|2|
LHTPROP|LHFLRMF|2|
LHTPROP|LHGOV-A|2|
LHTPROP|LHGOV-D|2|
LHTPROP|LHGOV-R|2|
LHTPROP|LHGOVRMF|2|
LHTPROP|LHGROWTH-A|2|
LHTPROP|LHGROWTH-D|2|
LHTPROP|LHGROWTH-R|2|
LHTPROP|LHMM|2|
LHTPROP|LHMSFL-R|2|
LHTPROP|LHPROP-I|2|
LHTPROP|LHTPROPRMF|2|
LHTPROPRMF|LHFLRMF|2|
LHTPROPRMF|LHGOVRMF|2|
KSET50LTF|KSLTF|0|
KSET50LTF|KTEF-LTF|0|
KSET50LTF|KTLF|0|
KSET50LTF|KTLF70/30|0|
KSET50LTF|KTSE-LTF|0|
KSLTF|KSET50LTF|0|
KSLTF|KTEF-LTF|0|
KSLTF|KTLF|0|
KSLTF|KTLF70/30|0|
KSLTF|KTSE-LTF|0|
KSRMF|KT25/75RMF|0|
KSRMF|KTEF-RMF|0|
KSRMF|KT-GOLD RMF|3|
KSRMF|KT-HiDiv RMF|0|
KSRMF|KTSE-RMF|0|
KSRMF|KTSET50RMF|0|
KSRMF|RMF1|0|
KSRMF|RMF2|1|
KSRMF|RMF3|1|
KSRMF|RMF4|2|
KT25/75-A|KSET50LTF|0|
KT25/75-A|KSLTF|0|
KT25/75-A|KSRMF|0|
KT25/75-A|KT25/75-R|0|
KT25/75-A|KT25/75RMF|0|
KT25/75-A|KT-AASIA-A|3|
KT25/75-A|KT-AGRI|3|
KT25/75-A|KT-ASEAN-A|3|
KT25/75-A|KT-BOND|3|
KT25/75-A|KT-BOND RMF|3|
KT25/75-A|KT-CHINA RMF|3|
KT25/75-A|KT-CLMVT-A|3|
KT25/75-A|KT-CLMVT-D|3|
KT25/75-A|KTEF|0|
KT25/75-A|KTEF-LTF|0|
KT25/75-A|KTEF-RMF|0|
KT25/75-A|KT-ENERGY|3|
KT25/75-A|KT-EURO|3|
KT25/75-A|KTFF174|3|
KT25/75-A|KTFF37|3|
KT25/75-A|KT-FINANCE|3|
KT25/75-A|KTFIX-1Y3Y|2|
KT25/75-A|KTFIXPLUS-A|1|
KT25/75-A|KTFIXPLUS-D|1|
KT25/75-A|KTFIXPLUS-I|1|
KT25/75-A|KT-FLEX|0|
KT25/75-A|KT-GMO-A|3|
KT25/75-A|KT-GOLD|3|
KT25/75-A|KT-GOLD RMF|3|
KT25/75-A|KT-HEALTHC RMF|3|
KT25/75-A|KT-HEALTHCARE-A|3|
KT25/75-A|KT-HiDiv|0|
KT25/75-A|KT-HiDiv RMF|0|
KT25/75-A|KT-IGF-R|3|
KT25/75-A|KTILB|3|
KT25/75-A|KTILF|2|
KT25/75-A|KT-INDIA-A|3|
KT25/75-A|KT-INDIA-D|3|
KT25/75-A|KT-JAPAN-A|3|
KT25/75-A|KT-JAPAN-D|3|
KT25/75-A|KTLF|0|
KT25/75-A|KTLF70/30|0|
KT25/75-A|KT-mai|0|
KT25/75-A|KT-MINING|3|
KT25/75-A|KTMSEQ|0|
KT25/75-A|KT-OIL|3|
KT25/75-A|KTOIL5-1|3|
KT25/75-A|KT-PIF RMF|3|
KT25/75-A|KT-PIF-A|3|
KT25/75-A|KT-PIF-D|3|
KT25/75-A|KTPLUS|2|
KT25/75-A|KT-PRECIOUS|3|
KT25/75-A|KT-PROPERTY|3|
KT25/75-A|KT-PROPERTY RMF|3|
KT25/75-A|KTSE|0|
KT25/75-A|KTSE-LTF|0|
KT25/75-A|KTSE-RMF|0|
KT25/75-A|KT-SET50-A|0|
KT25/75-A|KTSET50RMF|0|
KT25/75-A|KTSF|0|
KT25/75-A|KTSS|2|
KT25/75-A|KT-ST|2|
KT25/75-A|KTSTPLUS-A|2|
KT25/75-A|KTSV|2|
KT25/75-A|KT-US-A|3|
KT25/75-A|KT-WCORP|3|
KT25/75-A|KT-WEQ|3|
KT25/75-A|KT-WEQ RMF|3|
KT25/75-A|KTWG-A|3|
KT25/75-A|RMF1|0|
KT25/75-A|RMF2|1|
KT25/75-A|RMF3|1|
KT25/75-A|RMF4|2|
KT25/75-A|TOF|3|
KT25/75-R|KSET50LTF|0|
KT25/75-R|KSLTF|0|
KT25/75-R|KSRMF|0|
KT25/75-R|KT25/75-A|0|
KT25/75-R|KT25/75RMF|0|
KT25/75-R|KT-AASIA-A|3|
KT25/75-R|KT-AGRI|3|
KT25/75-R|KT-ASEAN-A|3|
KT25/75-R|KT-BOND|3|
KT25/75-R|KT-BOND RMF|3|
KT25/75-R|KT-CHINA RMF|3|
KT25/75-R|KT-CLMVT-A|3|
KT25/75-R|KT-CLMVT-D|3|
KT25/75-R|KTEF|0|
KT25/75-R|KTEF-LTF|0|
KT25/75-R|KTEF-RMF|0|
KT25/75-R|KT-ENERGY|3|
KT25/75-R|KT-EURO|3|
KT25/75-R|KTFF174|3|
KT25/75-R|KTFF37|3|
KT25/75-R|KT-FINANCE|3|
KT25/75-R|KTFIX-1Y3Y|2|
KT25/75-R|KTFIXPLUS-A|1|
KT25/75-R|KTFIXPLUS-D|1|
KT25/75-R|KTFIXPLUS-I|1|
KT25/75-R|KT-FLEX|0|
KT25/75-R|KT-GMO-A|3|
KT25/75-R|KT-GOLD|3|
KT25/75-R|KT-GOLD RMF|3|
KT25/75-R|KT-HEALTHC RMF|3|
KT25/75-R|KT-HEALTHCARE-A|3|
KT25/75-R|KT-HiDiv|0|
KT25/75-R|KT-HiDiv RMF|0|
KT25/75-R|KT-IGF-R|3|
KT25/75-R|KTILB|3|
KT25/75-R|KTILF|2|
KT25/75-R|KT-INDIA-A|3|
KT25/75-R|KT-INDIA-D|3|
KT25/75-R|KT-JAPAN-A|3|
KT25/75-R|KT-JAPAN-D|3|
KT25/75-R|KTLF|0|
KT25/75-R|KTLF70/30|0|
KT25/75-R|KT-mai|0|
KT25/75-R|KT-MINING|3|
KT25/75-R|KTMSEQ|0|
KT25/75-R|KT-OIL|3|
KT25/75-R|KTOIL5-1|3|
KT25/75-R|KT-PIF RMF|3|
KT25/75-R|KT-PIF-A|3|
KT25/75-R|KT-PIF-D|3|
KT25/75-R|KTPLUS|2|
KT25/75-R|KT-PRECIOUS|3|
KT25/75-R|KT-PROPERTY|3|
KT25/75-R|KT-PROPERTY RMF|3|
KT25/75-R|KTSE|0|
KT25/75-R|KTSE-LTF|0|
KT25/75-R|KTSE-RMF|0|
KT25/75-R|KT-SET50-A|0|
KT25/75-R|KTSET50RMF|0|
KT25/75-R|KTSF|0|
KT25/75-R|KTSS|2|
KT25/75-R|KT-ST|2|
KT25/75-R|KTSTPLUS-A|2|
KT25/75-R|KTSV|2|
KT25/75-R|KT-US-A|3|
KT25/75-R|KT-WCORP|3|
KT25/75-R|KT-WEQ|3|
KT25/75-R|KT-WEQ RMF|3|
KT25/75-R|KTWG-A|3|
KT25/75-R|RMF1|0|
KT25/75-R|RMF2|1|
KT25/75-R|RMF3|1|
KT25/75-R|RMF4|2|
KT25/75-R|TOF|3|
KT25/75RMF|KSRMF|0|
KT25/75RMF|KTEF-RMF|0|
KT25/75RMF|KT-GOLD RMF|3|
KT25/75RMF|KT-HiDiv RMF|0|
KT25/75RMF|KTSE-RMF|0|
KT25/75RMF|KTSET50RMF|0|
KT25/75RMF|RMF1|0|
KT25/75RMF|RMF2|1|
KT25/75RMF|RMF3|1|
KT25/75RMF|RMF4|2|
KT-AASIA-A|KSET50LTF|4|
KT-AASIA-A|KSLTF|4|
KT-AASIA-A|KSRMF|4|
KT-AASIA-A|KT25/75-A|4|
KT-AASIA-A|KT25/75-R|4|
KT-AASIA-A|KT25/75RMF|4|
KT-AASIA-A|KT-AGRI|4|
KT-AASIA-A|KT-ASEAN-A|4|
KT-AASIA-A|KT-BOND|4|
KT-AASIA-A|KT-BOND RMF|4|
KT-AASIA-A|KT-CHINA RMF|4|
KT-AASIA-A|KT-CLMVT-A|4|
KT-AASIA-A|KT-CLMVT-D|4|
KT-AASIA-A|KTEF|4|
KT-AASIA-A|KTEF-LTF|4|
KT-AASIA-A|KTEF-RMF|4|
KT-AASIA-A|KT-ENERGY|4|
KT-AASIA-A|KT-EURO|4|
KT-AASIA-A|KTFF174|4|
KT-AASIA-A|KTFF37|4|
KT-AASIA-A|KT-FINANCE|4|
KT-AASIA-A|KTFIX-1Y3Y|4|
KT-AASIA-A|KTFIXPLUS-A|4|
KT-AASIA-A|KTFIXPLUS-D|4|
KT-AASIA-A|KTFIXPLUS-I|4|
KT-AASIA-A|KT-FLEX|4|
KT-AASIA-A|KT-GMO-A|4|
KT-AASIA-A|KT-GOLD|4|
KT-AASIA-A|KT-GOLD RMF|4|
KT-AASIA-A|KT-HEALTHC RMF|4|
KT-AASIA-A|KT-HEALTHCARE-A|4|
KT-AASIA-A|KT-HiDiv|4|
KT-AASIA-A|KT-HiDiv RMF|4|
KT-AASIA-A|KT-IGF-R|4|
KT-AASIA-A|KTILB|4|
KT-AASIA-A|KTILF|4|
KT-AASIA-A|KT-INDIA-A|4|
KT-AASIA-A|KT-INDIA-D|4|
KT-AASIA-A|KT-JAPAN-A|4|
KT-AASIA-A|KT-JAPAN-D|4|
KT-AASIA-A|KTLF|4|
KT-AASIA-A|KTLF70/30|4|
KT-AASIA-A|KT-mai|4|
KT-AASIA-A|KT-MINING|4|
KT-AASIA-A|KTMSEQ|4|
KT-AASIA-A|KT-OIL|4|
KT-AASIA-A|KTOIL5-1|4|
KT-AASIA-A|KT-PIF RMF|4|
KT-AASIA-A|KT-PIF-A|4|
KT-AASIA-A|KT-PIF-D|4|
KT-AASIA-A|KTPLUS|4|
KT-AASIA-A|KT-PRECIOUS|4|
KT-AASIA-A|KT-PROPERTY|4|
KT-AASIA-A|KT-PROPERTY RMF|4|
KT-AASIA-A|KTSE|4|
KT-AASIA-A|KTSE-LTF|4|
KT-AASIA-A|KTSE-RMF|4|
KT-AASIA-A|KT-SET50-A|4|
KT-AASIA-A|KTSET50RMF|4|
KT-AASIA-A|KTSF|4|
KT-AASIA-A|KTSS|4|
KT-AASIA-A|KT-ST|4|
KT-AASIA-A|KTSTPLUS-A|4|
KT-AASIA-A|KTSV|4|
KT-AASIA-A|KT-US-A|4|
KT-AASIA-A|KT-WCORP|4|
KT-AASIA-A|KT-WEQ|4|
KT-AASIA-A|KT-WEQ RMF|4|
KT-AASIA-A|KTWG-A|4|
KT-AASIA-A|RMF1|4|
KT-AASIA-A|RMF2|4|
KT-AASIA-A|RMF3|4|
KT-AASIA-A|RMF4|4|
KT-AASIA-A|TOF|4|
KT-AGRI|KSET50LTF|4|
KT-AGRI|KSLTF|4|
KT-AGRI|KSRMF|4|
KT-AGRI|KT25/75-A|4|
KT-AGRI|KT25/75-R|4|
KT-AGRI|KT25/75RMF|4|
KT-AGRI|KT-AASIA-A|4|
KT-AGRI|KT-ASEAN-A|4|
KT-AGRI|KT-BOND|4|
KT-AGRI|KT-BOND RMF|4|
KT-AGRI|KT-CHINA RMF|4|
KT-AGRI|KT-CLMVT-A|4|
KT-AGRI|KT-CLMVT-D|4|
KT-AGRI|KTEF|4|
KT-AGRI|KTEF-LTF|4|
KT-AGRI|KTEF-RMF|4|
KT-AGRI|KT-ENERGY|4|
KT-AGRI|KT-EURO|4|
KT-AGRI|KTFF174|4|
KT-AGRI|KTFF37|4|
KT-AGRI|KT-FINANCE|4|
KT-AGRI|KTFIX-1Y3Y|4|
KT-AGRI|KTFIXPLUS-A|4|
KT-AGRI|KTFIXPLUS-D|4|
KT-AGRI|KTFIXPLUS-I|4|
KT-AGRI|KT-FLEX|4|
KT-AGRI|KT-GMO-A|4|
KT-AGRI|KT-GOLD|4|
KT-AGRI|KT-GOLD RMF|4|
KT-AGRI|KT-HEALTHC RMF|4|
KT-AGRI|KT-HEALTHCARE-A|4|
KT-AGRI|KT-HiDiv|4|
KT-AGRI|KT-HiDiv RMF|4|
KT-AGRI|KT-IGF-R|4|
KT-AGRI|KTILB|4|
KT-AGRI|KTILF|4|
KT-AGRI|KT-INDIA-A|4|
KT-AGRI|KT-INDIA-D|4|
KT-AGRI|KT-JAPAN-A|4|
KT-AGRI|KT-JAPAN-D|4|
KT-AGRI|KTLF|4|
KT-AGRI|KTLF70/30|4|
KT-AGRI|KT-mai|4|
KT-AGRI|KT-MINING|4|
KT-AGRI|KTMSEQ|4|
KT-AGRI|KT-OIL|4|
KT-AGRI|KTOIL5-1|4|
KT-AGRI|KT-PIF RMF|4|
KT-AGRI|KT-PIF-A|4|
KT-AGRI|KT-PIF-D|4|
KT-AGRI|KTPLUS|4|
KT-AGRI|KT-PRECIOUS|4|
KT-AGRI|KT-PROPERTY|4|
KT-AGRI|KT-PROPERTY RMF|4|
KT-AGRI|KTSE|4|
KT-AGRI|KTSE-LTF|4|
KT-AGRI|KTSE-RMF|4|
KT-AGRI|KT-SET50-A|4|
KT-AGRI|KTSET50RMF|4|
KT-AGRI|KTSF|4|
KT-AGRI|KTSS|4|
KT-AGRI|KT-ST|4|
KT-AGRI|KTSTPLUS-A|4|
KT-AGRI|KTSV|4|
KT-AGRI|KT-US-A|4|
KT-AGRI|KT-WCORP|4|
KT-AGRI|KT-WEQ|4|
KT-AGRI|KT-WEQ RMF|4|
KT-AGRI|KTWG-A|4|
KT-AGRI|RMF1|4|
KT-AGRI|RMF2|4|
KT-AGRI|RMF3|4|
KT-AGRI|RMF4|4|
KT-AGRI|TOF|4|
KT-ASEAN-A|KSET50LTF|4|
KT-ASEAN-A|KSLTF|4|
KT-ASEAN-A|KSRMF|4|
KT-ASEAN-A|KT25/75-A|4|
KT-ASEAN-A|KT25/75-R|4|
KT-ASEAN-A|KT25/75RMF|4|
KT-ASEAN-A|KT-AASIA-A|4|
KT-ASEAN-A|KT-AGRI|4|
KT-ASEAN-A|KT-BOND|4|
KT-ASEAN-A|KT-BOND RMF|4|
KT-ASEAN-A|KT-CHINA RMF|4|
KT-ASEAN-A|KT-CLMVT-A|4|
KT-ASEAN-A|KT-CLMVT-D|4|
KT-ASEAN-A|KTEF|4|
KT-ASEAN-A|KTEF-LTF|4|
KT-ASEAN-A|KTEF-RMF|4|
KT-ASEAN-A|KT-ENERGY|4|
KT-ASEAN-A|KT-EURO|4|
KT-ASEAN-A|KTFF174|4|
KT-ASEAN-A|KTFF37|4|
KT-ASEAN-A|KT-FINANCE|4|
KT-ASEAN-A|KTFIX-1Y3Y|4|
KT-ASEAN-A|KTFIXPLUS-A|4|
KT-ASEAN-A|KTFIXPLUS-D|4|
KT-ASEAN-A|KTFIXPLUS-I|4|
KT-ASEAN-A|KT-FLEX|4|
KT-ASEAN-A|KT-GMO-A|4|
KT-ASEAN-A|KT-GOLD|4|
KT-ASEAN-A|KT-GOLD RMF|4|
KT-ASEAN-A|KT-HEALTHC RMF|4|
KT-ASEAN-A|KT-HEALTHCARE-A|4|
KT-ASEAN-A|KT-HiDiv|4|
KT-ASEAN-A|KT-HiDiv RMF|4|
KT-ASEAN-A|KT-IGF-R|4|
KT-ASEAN-A|KTILB|4|
KT-ASEAN-A|KTILF|4|
KT-ASEAN-A|KT-INDIA-A|4|
KT-ASEAN-A|KT-INDIA-D|4|
KT-ASEAN-A|KT-JAPAN-A|4|
KT-ASEAN-A|KT-JAPAN-D|4|
KT-ASEAN-A|KTLF|4|
KT-ASEAN-A|KTLF70/30|4|
KT-ASEAN-A|KT-mai|4|
KT-ASEAN-A|KT-MINING|4|
KT-ASEAN-A|KTMSEQ|4|
KT-ASEAN-A|KT-OIL|4|
KT-ASEAN-A|KTOIL5-1|4|
KT-ASEAN-A|KT-PIF RMF|4|
KT-ASEAN-A|KT-PIF-A|4|
KT-ASEAN-A|KT-PIF-D|4|
KT-ASEAN-A|KTPLUS|4|
KT-ASEAN-A|KT-PRECIOUS|4|
KT-ASEAN-A|KT-PROPERTY|4|
KT-ASEAN-A|KT-PROPERTY RMF|4|
KT-ASEAN-A|KTSE|4|
KT-ASEAN-A|KTSE-LTF|4|
KT-ASEAN-A|KTSE-RMF|4|
KT-ASEAN-A|KT-SET50-A|4|
KT-ASEAN-A|KTSET50RMF|4|
KT-ASEAN-A|KTSF|4|
KT-ASEAN-A|KTSS|4|
KT-ASEAN-A|KT-ST|4|
KT-ASEAN-A|KTSTPLUS-A|4|
KT-ASEAN-A|KTSV|4|
KT-ASEAN-A|KT-US-A|4|
KT-ASEAN-A|KT-WCORP|4|
KT-ASEAN-A|KT-WEQ|4|
KT-ASEAN-A|KT-WEQ RMF|4|
KT-ASEAN-A|KTWG-A|4|
KT-ASEAN-A|RMF1|4|
KT-ASEAN-A|RMF2|4|
KT-ASEAN-A|RMF3|4|
KT-ASEAN-A|RMF4|4|
KT-ASEAN-A|TOF|4|
KT-BOND|KSET50LTF|5|
KT-BOND|KSLTF|5|
KT-BOND|KSRMF|5|
KT-BOND|KT25/75-A|5|
KT-BOND|KT25/75-R|5|
KT-BOND|KT25/75RMF|5|
KT-BOND|KT-AASIA-A|5|
KT-BOND|KT-AGRI|5|
KT-BOND|KT-ASEAN-A|5|
KT-BOND|KT-BOND RMF|5|
KT-BOND|KT-CHINA RMF|5|
KT-BOND|KT-CLMVT-A|5|
KT-BOND|KT-CLMVT-D|5|
KT-BOND|KTEF|5|
KT-BOND|KTEF-LTF|5|
KT-BOND|KTEF-RMF|5|
KT-BOND|KT-ENERGY|5|
KT-BOND|KT-EURO|5|
KT-BOND|KTFF174|5|
KT-BOND|KTFF37|5|
KT-BOND|KT-FINANCE|5|
KT-BOND|KTFIX-1Y3Y|5|
KT-BOND|KTFIXPLUS-A|5|
KT-BOND|KTFIXPLUS-D|5|
KT-BOND|KTFIXPLUS-I|5|
KT-BOND|KT-FLEX|5|
KT-BOND|KT-GMO-A|5|
KT-BOND|KT-GOLD|5|
KT-BOND|KT-GOLD RMF|5|
KT-BOND|KT-HEALTHC RMF|5|
KT-BOND|KT-HEALTHCARE-A|5|
KT-BOND|KT-HiDiv|5|
KT-BOND|KT-HiDiv RMF|5|
KT-BOND|KT-IGF-R|5|
KT-BOND|KTILB|5|
KT-BOND|KTILF|5|
KT-BOND|KT-INDIA-A|5|
KT-BOND|KT-INDIA-D|5|
KT-BOND|KT-JAPAN-A|5|
KT-BOND|KT-JAPAN-D|5|
KT-BOND|KTLF|5|
KT-BOND|KTLF70/30|5|
KT-BOND|KT-mai|5|
KT-BOND|KT-MINING|5|
KT-BOND|KTMSEQ|5|
KT-BOND|KT-OIL|5|
KT-BOND|KTOIL5-1|5|
KT-BOND|KT-PIF RMF|5|
KT-BOND|KT-PIF-A|5|
KT-BOND|KT-PIF-D|5|
KT-BOND|KTPLUS|5|
KT-BOND|KT-PRECIOUS|5|
KT-BOND|KT-PROPERTY|5|
KT-BOND|KT-PROPERTY RMF|5|
KT-BOND|KTSE|5|
KT-BOND|KTSE-LTF|5|
KT-BOND|KTSE-RMF|5|
KT-BOND|KT-SET50-A|5|
KT-BOND|KTSET50RMF|5|
KT-BOND|KTSF|5|
KT-BOND|KTSS|5|
KT-BOND|KT-ST|5|
KT-BOND|KTSTPLUS-A|5|
KT-BOND|KTSV|5|
KT-BOND|KT-US-A|5|
KT-BOND|KT-WCORP|5|
KT-BOND|KT-WEQ|5|
KT-BOND|KT-WEQ RMF|5|
KT-BOND|KTWG-A|5|
KT-BOND|RMF1|5|
KT-BOND|RMF2|5|
KT-BOND|RMF3|5|
KT-BOND|RMF4|5|
KT-BOND|TOF|5|
KT-BOND RMF|RMF4|5|
KT-CHINA RMF|RMF4|4|
KT-CLMVT-A|KSET50LTF|4|
KT-CLMVT-A|KSLTF|4|
KT-CLMVT-A|KSRMF|4|
KT-CLMVT-A|KT25/75-A|4|
KT-CLMVT-A|KT25/75-R|4|
KT-CLMVT-A|KT25/75RMF|4|
KT-CLMVT-A|KT-AASIA-A|4|
KT-CLMVT-A|KT-AGRI|4|
KT-CLMVT-A|KT-ASEAN-A|4|
KT-CLMVT-A|KT-BOND|4|
KT-CLMVT-A|KT-BOND RMF|4|
KT-CLMVT-A|KT-CHINA RMF|4|
KT-CLMVT-A|KT-CLMVT-D|0|
KT-CLMVT-A|KTEF|4|
KT-CLMVT-A|KTEF-LTF|4|
KT-CLMVT-A|KTEF-RMF|4|
KT-CLMVT-A|KT-ENERGY|4|
KT-CLMVT-A|KT-EURO|4|
KT-CLMVT-A|KTFF174|4|
KT-CLMVT-A|KTFF37|4|
KT-CLMVT-A|KT-FINANCE|4|
KT-CLMVT-A|KTFIX-1Y3Y|4|
KT-CLMVT-A|KTFIXPLUS-A|4|
KT-CLMVT-A|KTFIXPLUS-D|4|
KT-CLMVT-A|KTFIXPLUS-I|4|
KT-CLMVT-A|KT-FLEX|4|
KT-CLMVT-A|KT-GMO-A|4|
KT-CLMVT-A|KT-GOLD|4|
KT-CLMVT-A|KT-GOLD RMF|4|
KT-CLMVT-A|KT-HEALTHC RMF|4|
KT-CLMVT-A|KT-HEALTHCARE-A|4|
KT-CLMVT-A|KT-HiDiv|4|
KT-CLMVT-A|KT-HiDiv RMF|4|
KT-CLMVT-A|KT-IGF-R|4|
KT-CLMVT-A|KTILB|4|
KT-CLMVT-A|KTILF|4|
KT-CLMVT-A|KT-INDIA-A|4|
KT-CLMVT-A|KT-INDIA-D|4|
KT-CLMVT-A|KT-JAPAN-A|4|
KT-CLMVT-A|KT-JAPAN-D|4|
KT-CLMVT-A|KTLF|4|
KT-CLMVT-A|KTLF70/30|4|
KT-CLMVT-A|KT-mai|4|
KT-CLMVT-A|KT-MINING|4|
KT-CLMVT-A|KTMSEQ|4|
KT-CLMVT-A|KT-OIL|4|
KT-CLMVT-A|KTOIL5-1|4|
KT-CLMVT-A|KT-PIF RMF|4|
KT-CLMVT-A|KT-PIF-A|4|
KT-CLMVT-A|KT-PIF-D|4|
KT-CLMVT-A|KTPLUS|4|
KT-CLMVT-A|KT-PRECIOUS|4|
KT-CLMVT-A|KT-PROPERTY|4|
KT-CLMVT-A|KT-PROPERTY RMF|4|
KT-CLMVT-A|KTSE|4|
KT-CLMVT-A|KTSE-LTF|4|
KT-CLMVT-A|KTSE-RMF|4|
KT-CLMVT-A|KT-SET50-A|4|
KT-CLMVT-A|KTSET50RMF|4|
KT-CLMVT-A|KTSF|4|
KT-CLMVT-A|KTSS|4|
KT-CLMVT-A|KT-ST|4|
KT-CLMVT-A|KTSTPLUS-A|4|
KT-CLMVT-A|KTSV|4|
KT-CLMVT-A|KT-US-A|4|
KT-CLMVT-A|KT-WCORP|4|
KT-CLMVT-A|KT-WEQ|4|
KT-CLMVT-A|KT-WEQ RMF|4|
KT-CLMVT-A|KTWG-A|4|
KT-CLMVT-A|RMF1|4|
KT-CLMVT-A|RMF2|4|
KT-CLMVT-A|RMF3|4|
KT-CLMVT-A|RMF4|4|
KT-CLMVT-A|TOF|4|
KT-CLMVT-D|KSET50LTF|4|
KT-CLMVT-D|KSLTF|4|
KT-CLMVT-D|KSRMF|4|
KT-CLMVT-D|KT25/75-A|4|
KT-CLMVT-D|KT25/75-R|4|
KT-CLMVT-D|KT25/75RMF|4|
KT-CLMVT-D|KT-AASIA-A|4|
KT-CLMVT-D|KT-AGRI|4|
KT-CLMVT-D|KT-ASEAN-A|4|
KT-CLMVT-D|KT-BOND|4|
KT-CLMVT-D|KT-BOND RMF|4|
KT-CLMVT-D|KT-CHINA RMF|4|
KT-CLMVT-D|KT-CLMVT-A|0|
KT-CLMVT-D|KTEF|4|
KT-CLMVT-D|KTEF-LTF|4|
KT-CLMVT-D|KTEF-RMF|4|
KT-CLMVT-D|KT-ENERGY|4|
KT-CLMVT-D|KT-EURO|4|
KT-CLMVT-D|KTFF174|4|
KT-CLMVT-D|KTFF37|4|
KT-CLMVT-D|KT-FINANCE|4|
KT-CLMVT-D|KTFIX-1Y3Y|4|
KT-CLMVT-D|KTFIXPLUS-A|4|
KT-CLMVT-D|KTFIXPLUS-D|4|
KT-CLMVT-D|KTFIXPLUS-I|4|
KT-CLMVT-D|KT-FLEX|4|
KT-CLMVT-D|KT-GMO-A|4|
KT-CLMVT-D|KT-GOLD|4|
KT-CLMVT-D|KT-GOLD RMF|4|
KT-CLMVT-D|KT-HEALTHC RMF|4|
KT-CLMVT-D|KT-HEALTHCARE-A|4|
KT-CLMVT-D|KT-HiDiv|4|
KT-CLMVT-D|KT-HiDiv RMF|4|
KT-CLMVT-D|KT-IGF-R|4|
KT-CLMVT-D|KTILB|4|
KT-CLMVT-D|KTILF|4|
KT-CLMVT-D|KT-INDIA-A|4|
KT-CLMVT-D|KT-INDIA-D|4|
KT-CLMVT-D|KT-JAPAN-A|4|
KT-CLMVT-D|KT-JAPAN-D|4|
KT-CLMVT-D|KTLF|4|
KT-CLMVT-D|KTLF70/30|4|
KT-CLMVT-D|KT-mai|4|
KT-CLMVT-D|KT-MINING|4|
KT-CLMVT-D|KTMSEQ|4|
KT-CLMVT-D|KT-OIL|4|
KT-CLMVT-D|KTOIL5-1|4|
KT-CLMVT-D|KT-PIF RMF|4|
KT-CLMVT-D|KT-PIF-A|4|
KT-CLMVT-D|KT-PIF-D|4|
KT-CLMVT-D|KTPLUS|4|
KT-CLMVT-D|KT-PRECIOUS|4|
KT-CLMVT-D|KT-PROPERTY|4|
KT-CLMVT-D|KT-PROPERTY RMF|4|
KT-CLMVT-D|KTSE|4|
KT-CLMVT-D|KTSE-LTF|4|
KT-CLMVT-D|KTSE-RMF|4|
KT-CLMVT-D|KT-SET50-A|4|
KT-CLMVT-D|KTSET50RMF|4|
KT-CLMVT-D|KTSF|4|
KT-CLMVT-D|KTSS|4|
KT-CLMVT-D|KT-ST|4|
KT-CLMVT-D|KTSTPLUS-A|4|
KT-CLMVT-D|KTSV|4|
KT-CLMVT-D|KT-US-A|4|
KT-CLMVT-D|KT-WCORP|4|
KT-CLMVT-D|KT-WEQ|4|
KT-CLMVT-D|KT-WEQ RMF|4|
KT-CLMVT-D|KTWG-A|4|
KT-CLMVT-D|RMF1|4|
KT-CLMVT-D|RMF2|4|
KT-CLMVT-D|RMF3|4|
KT-CLMVT-D|RMF4|4|
KT-CLMVT-D|TOF|4|
KTEF|KSET50LTF|0|
KTEF|KSLTF|0|
KTEF|KSRMF|0|
